NXST_FLOW reply (xid=0x4): flags=[more]
 cookie=0x0, duration=406.944s, table=0, n_packets=5047, n_bytes=323008, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9000 actions=output:2
 cookie=0x0, duration=406.944s, table=0, n_packets=5184, n_bytes=331776, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9001 actions=drop
 cookie=0x0, duration=406.944s, table=0, n_packets=5240, n_bytes=335360, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9002 actions=output:2
 cookie=0x0, duration=406.944s, table=0, n_packets=5153, n_bytes=329792, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9003 actions=drop
 cookie=0x0, duration=406.944s, table=0, n_packets=5231, n_bytes=334784, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9004 actions=output:2
 cookie=0x0, duration=406.944s, table=0, n_packets=5208, n_bytes=333312, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9005 actions=drop
 cookie=0x0, duration=406.944s, table=0, n_packets=5242, n_bytes=335488, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9006 actions=output:2
 cookie=0x0, duration=406.944s, table=0, n_packets=5138, n_bytes=328832, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9007 actions=drop
 cookie=0x0, duration=406.944s, table=0, n_packets=5170, n_bytes=330880, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9008 actions=output:2
 cookie=0x0, duration=406.944s, table=0, n_packets=5216, n_bytes=333824, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9009 actions=drop
 cookie=0x0, duration=406.944s, table=0, n_packets=5279, n_bytes=337856, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9010 actions=output:2
 cookie=0x0, duration=406.943s, table=0, n_packets=5163, n_bytes=330432, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9011 actions=drop
 cookie=0x0, duration=406.943s, table=0, n_packets=5180, n_bytes=331520, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9012 actions=output:2
 cookie=0x0, duration=406.943s, table=0, n_packets=5236, n_bytes=335104, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9013 actions=drop
 cookie=0x0, duration=406.943s, table=0, n_packets=5180, n_bytes=331520, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9014 actions=output:2
 cookie=0x0, duration=406.943s, table=0, n_packets=5136, n_bytes=328704, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9015 actions=drop
 cookie=0x0, duration=406.943s, table=0, n_packets=5105, n_bytes=326720, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9016 actions=output:2
 cookie=0x0, duration=406.943s, table=0, n_packets=5121, n_bytes=327744, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9017 actions=drop
 cookie=0x0, duration=406.943s, table=0, n_packets=5215, n_bytes=333760, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9018 actions=output:2
 cookie=0x0, duration=406.943s, table=0, n_packets=5171, n_bytes=330944, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9019 actions=drop
 cookie=0x0, duration=406.943s, table=0, n_packets=5144, n_bytes=329216, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9020 actions=output:2
 cookie=0x0, duration=406.943s, table=0, n_packets=5175, n_bytes=331200, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9021 actions=drop
 cookie=0x0, duration=406.943s, table=0, n_packets=5160, n_bytes=330240, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9022 actions=output:2
 cookie=0x0, duration=406.943s, table=0, n_packets=5099, n_bytes=326336, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9023 actions=drop
 cookie=0x0, duration=406.943s, table=0, n_packets=5095, n_bytes=326080, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9024 actions=output:2
 cookie=0x0, duration=406.943s, table=0, n_packets=5085, n_bytes=325440, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9025 actions=drop
 cookie=0x0, duration=406.943s, table=0, n_packets=5145, n_bytes=329280, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9026 actions=output:2
 cookie=0x0, duration=406.943s, table=0, n_packets=4990, n_bytes=319360, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9027 actions=drop
 cookie=0x0, duration=406.943s, table=0, n_packets=5062, n_bytes=323968, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9028 actions=output:2
 cookie=0x0, duration=406.943s, table=0, n_packets=5192, n_bytes=332288, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9029 actions=drop
 cookie=0x0, duration=406.943s, table=0, n_packets=5152, n_bytes=329728, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9030 actions=output:2
 cookie=0x0, duration=406.943s, table=0, n_packets=5112, n_bytes=327168, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9031 actions=drop
 cookie=0x0, duration=406.942s, table=0, n_packets=5239, n_bytes=335296, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9032 actions=output:2
 cookie=0x0, duration=406.942s, table=0, n_packets=5217, n_bytes=333888, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9033 actions=drop
 cookie=0x0, duration=406.942s, table=0, n_packets=5127, n_bytes=328128, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9034 actions=output:2
 cookie=0x0, duration=406.942s, table=0, n_packets=5117, n_bytes=327488, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9035 actions=drop
 cookie=0x0, duration=406.942s, table=0, n_packets=5134, n_bytes=328576, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9036 actions=output:2
 cookie=0x0, duration=406.942s, table=0, n_packets=5174, n_bytes=331136, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9037 actions=drop
 cookie=0x0, duration=406.942s, table=0, n_packets=5088, n_bytes=325632, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9038 actions=output:2
 cookie=0x0, duration=406.942s, table=0, n_packets=5348, n_bytes=342272, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9039 actions=drop
