recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20023,dst=9005), packets:9283, bytes:594112, used:0.003s, actions:3
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20000,dst=9012), packets:9344, bytes:598016, used:0.000s, actions:3
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20020,dst=9008), packets:9293, bytes:594752, used:0.006s, actions:3
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20060,dst=9015), packets:9243, bytes:591552, used:0.001s, actions:drop
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20005,dst=9006), packets:9344, bytes:598016, used:0.004s, actions:drop
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20017,dst=9000), packets:9182, bytes:587648, used:0.003s, actions:drop
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20054,dst=9004), packets:9249, bytes:591936, used:0.002s, actions:3
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20001,dst=9006), packets:9172, bytes:587008, used:0.002s, actions:drop
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20039,dst=9006), packets:9187, bytes:587968, used:0.003s, actions:drop
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20010,dst=9008), packets:9202, bytes:588928, used:0.007s, actions:3
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20025,dst=9013), packets:9263, bytes:592832, used:0.005s, actions:3
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20041,dst=9011), packets:9215, bytes:589760, used:0.001s, actions:3
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20065,dst=9011), packets:9129, bytes:584256, used:0.001s, actions:3
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20010,dst=9011), packets:9438, bytes:604032, used:0.002s, actions:drop
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20016,dst=9014), packets:9262, bytes:592768, used:0.002s, actions:3
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20055,dst=9011), packets:9302, bytes:595328, used:0.010s, actions:3
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20016,dst=9011), packets:9324, bytes:596736, used:0.003s, actions:drop
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20047,dst=9011), packets:9177, bytes:587328, used:0.003s, actions:3
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20059,dst=9016), packets:9266, bytes:593024, used:0.004s, actions:drop
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20071,dst=9007), packets:9246, bytes:591744, used:0.002s, actions:3
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20060,dst=9003), packets:9093, bytes:581952, used:0.002s, actions:drop
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20040,dst=9013), packets:9347, bytes:598208, used:0.002s, actions:drop
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20052,dst=9006), packets:9371, bytes:599744, used:0.014s, actions:3
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20089,dst=9010), packets:9089, bytes:581696, used:0.001s, actions:drop
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20072,dst=9016), packets:9327, bytes:596928, used:0.001s, actions:3
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20036,dst=9017), packets:9260, bytes:592640, used:0.004s, actions:drop
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20065,dst=9017), packets:9330, bytes:597120, used:0.001s, actions:3
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20060,dst=9004), packets:9164, bytes:586496, used:0.006s, actions:3
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20015,dst=9006), packets:9135, bytes:584640, used:0.006s, actions:drop
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20048,dst=9011), packets:9246, bytes:591744, used:0.006s, actions:drop
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20076,dst=9001), packets:9345, bytes:598080, used:0.007s, actions:drop
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20026,dst=9000), packets:9592, bytes:613888, used:0.005s, actions:3
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20045,dst=9015), packets:9205, bytes:589120, used:0.002s, actions:3
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20092,dst=9003), packets:9374, bytes:599936, used:0.002s, actions:drop
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20041,dst=9000), packets:9173, bytes:587072, used:0.001s, actions:drop
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20081,dst=9017), packets:9346, bytes:598144, used:0.002s, actions:3
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20094,dst=9017), packets:9333, bytes:597312, used:0.008s, actions:drop
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20063,dst=9002), packets:9165, bytes:586560, used:0.001s, actions:drop
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20046,dst=9011), packets:9220, bytes:590080, used:0.001s, actions:drop
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20064,dst=9017), packets:9054, bytes:579456, used:0.001s, actions:drop
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20014,dst=9008), packets:9349, bytes:598336, used:0.005s, actions:3
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20077,dst=9018), packets:9473, bytes:606272, used:0.004s, actions:drop
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20075,dst=9009), packets:9395, bytes:601280, used:0.003s, actions:3
recirc_id(0),in_port(2),eth(),eth_type(0x0800),ipv4(proto=17,frag=no),udp(src=20029,dst=9002), packets:9398, bytes:601472, used:0.002s, actions:drop
