NXST_FLOW reply (xid=0x4): flags=[more]
 cookie=0x0, duration=947.199s, table=0, n_packets=28918, n_bytes=1850752, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9000 actions=output:2
 cookie=0x0, duration=947.199s, table=0, n_packets=29034, n_bytes=1858176, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9001 actions=drop
 cookie=0x0, duration=947.199s, table=0, n_packets=29033, n_bytes=1858112, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9002 actions=output:2
 cookie=0x0, duration=947.198s, table=0, n_packets=28828, n_bytes=1844992, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9003 actions=drop
 cookie=0x0, duration=947.198s, table=0, n_packets=28794, n_bytes=1842816, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9004 actions=output:2
 cookie=0x0, duration=947.198s, table=0, n_packets=28754, n_bytes=1840256, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9005 actions=drop
 cookie=0x0, duration=947.198s, table=0, n_packets=28954, n_bytes=1853056, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9006 actions=output:2
 cookie=0x0, duration=947.198s, table=0, n_packets=28872, n_bytes=1847808, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9007 actions=drop
 cookie=0x0, duration=947.198s, table=0, n_packets=28924, n_bytes=1851136, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9008 actions=output:2
 cookie=0x0, duration=947.198s, table=0, n_packets=29148, n_bytes=1865472, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9009 actions=drop
 cookie=0x0, duration=947.198s, table=0, n_packets=29012, n_bytes=1856768, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9010 actions=output:2
 cookie=0x0, duration=947.198s, table=0, n_packets=28963, n_bytes=1853632, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9011 actions=drop
 cookie=0x0, duration=947.198s, table=0, n_packets=29039, n_bytes=1858496, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9012 actions=output:2
 cookie=0x0, duration=947.198s, table=0, n_packets=28901, n_bytes=1849664, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9013 actions=drop
 cookie=0x0, duration=947.198s, table=0, n_packets=28704, n_bytes=1837056, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9014 actions=output:2
 cookie=0x0, duration=947.198s, table=0, n_packets=29362, n_bytes=1879168, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9015 actions=drop
 cookie=0x0, duration=947.198s, table=0, n_packets=28920, n_bytes=1850880, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9016 actions=output:2
 cookie=0x0, duration=947.198s, table=0, n_packets=29561, n_bytes=1891904, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9017 actions=drop
 cookie=0x0, duration=947.198s, table=0, n_packets=28925, n_bytes=1851200, idle_age=0, priority=100,udp,tp_src=20000,tp_dst=9018 actions=output:2
 cookie=0x0, duration=947.198s, table=0, n_packets=0, n_bytes=0, idle_age=947, priority=100,udp,tp_src=20000,tp_dst=9019 actions=drop
 cookie=0x0, duration=947.198s, table=0, n_packets=29364, n_bytes=1879296, idle_age=0, priority=100,udp,tp_src=20001,tp_dst=9000 actions=drop
