backend,run,srcversion,flows,masks_total,hit_per_pkt,ohash_children,ohash_self,masked_children,masked_self,cycles,instructions,ipc,soft_pct,pps
jhash,1,9934512B440806A9DEFA77A,15439,7,4.00,9.55,9.5,26.67,18.31,44400096036,81095509867,1.83,66.67,850319
jhash,2,9934512B440806A9DEFA77A,15439,7,4.00,9.4,9.34,27.43,19.08,44462517448,80871664377,1.82,66.43,848258
jhash,3,9934512B440806A9DEFA77A,15439,7,4.00,9.43,9.39,27.55,19.28,44487813595,81411043033,1.83,66.05,851314
jhash,4,9934512B440806A9DEFA77A,15439,7,4.00,9.43,9.4,26.96,18.7,44459359912,81215185621,1.83,66.43,853871
jhash,5,9934512B440806A9DEFA77A,15439,7,4.00,9.58,9.53,26.48,18.01,44541369545,80938240877,1.82,66.06,852719
jhash,6,9934512B440806A9DEFA77A,15439,7,4.00,9.71,9.67,27.02,18.48,44460800425,80801864970,1.82,66.38,849422
jhash,7,9934512B440806A9DEFA77A,15439,7,4.00,9.57,9.53,27.19,18.82,44566870291,81932974821,1.84,65.84,853533
jhash,8,9934512B440806A9DEFA77A,15439,7,4.00,9.71,9.68,26.84,18.28,44568296639,80976052682,1.82,66.43,854822
jhash,9,9934512B440806A9DEFA77A,15439,7,4.00,9.39,9.35,27.28,19.08,44552659854,80997762688,1.82,66.33,852361
jhash,10,9934512B440806A9DEFA77A,15439,7,4.00,9.27,9.22,27.1,18.94,44592780664,80446933677,1.80,66.52,847797
hsiphash,1,670B9FE03F3CECAF4D7F865,15440,8,4.05,5.7,0.21,26.46,18.76,44412120064,84281101461,1.90,64.73,881004
hsiphash,2,670B9FE03F3CECAF4D7F865,15442,8,4.01,5.62,0.23,26.81,19.32,44362998341,84325727102,1.90,64.95,882828
hsiphash,3,670B9FE03F3CECAF4D7F865,15439,7,4.01,5.63,0.26,27.03,19.46,44576126777,84592637137,1.90,65.52,877887
hsiphash,4,670B9FE03F3CECAF4D7F865,15439,7,4.00,5.76,0.24,26.61,18.84,44456421594,84088333974,1.89,65.24,878057
hsiphash,5,670B9FE03F3CECAF4D7F865,15439,7,4.00,5.51,0.19,26.38,18.96,44577254228,84759372568,1.90,65.00,882949
hsiphash,6,670B9FE03F3CECAF4D7F865,15439,7,4.00,5.86,0.23,26.18,18.22,44530554699,84022984470,1.89,64.94,880598
hsiphash,7,670B9FE03F3CECAF4D7F865,15440,8,4.00,5.53,0.3,26.39,18.82,44572695672,84971091682,1.91,64.57,884910
hsiphash,8,670B9FE03F3CECAF4D7F865,15439,7,4.00,5.6,0.2,26.14,18.48,44401621987,82997366636,1.87,65.11,876008
hsiphash,9,670B9FE03F3CECAF4D7F865,15439,7,4.00,5.52,0.29,26.29,18.75,44472927873,84415440288,1.90,64.59,880536
hsiphash,10,670B9FE03F3CECAF4D7F865,15439,7,4.00,5.74,0.2,26.35,18.55,44448447929,84314014727,1.90,64.43,879564
siphash,1,75AA9FCC444232089DB6AD7,15440,8,4.06,9.98,0.34,30.91,18,44450100625,85238924272,1.92,67.05,823697
siphash,2,75AA9FCC444232089DB6AD7,15442,8,4.01,9.84,0.3,30.81,18.01,44386400847,85383225512,1.92,67.29,824210
siphash,3,75AA9FCC444232089DB6AD7,15439,7,4.01,10.13,0.28,30.94,17.96,44477194555,85990270847,1.93,66.90,828430
siphash,4,75AA9FCC444232089DB6AD7,15441,8,4.00,9.82,0.28,30.2,17.59,44370103639,85588754707,1.93,67.38,826754
siphash,5,75AA9FCC444232089DB6AD7,15439,7,4.00,10.01,0.29,30.37,17.5,44545267332,85173944949,1.91,67.62,824162
siphash,6,75AA9FCC444232089DB6AD7,15439,7,4.00,9.73,0.34,30.66,17.91,44361710931,85488730186,1.93,67.76,826614
siphash,7,75AA9FCC444232089DB6AD7,15439,7,4.00,9.97,0.3,30.48,17.6,44426358822,86462831898,1.95,67.24,831820
siphash,8,75AA9FCC444232089DB6AD7,15439,7,4.00,9.97,0.3,30.88,17.85,44428917311,85136925740,1.92,67.10,824052
siphash,9,75AA9FCC444232089DB6AD7,15439,7,4.00,10.13,0.34,30.04,17.15,44483237585,85479669116,1.92,67.11,824789
siphash,10,75AA9FCC444232089DB6AD7,15439,7,4.00,9.87,0.31,30.97,18.28,44468069184,85759130810,1.93,66.97,826611
