backend,run,srcversion,ohash_children,ohash_self,masked_children,masked_self,mhz,pps,flows_before_perf
jhash,1,9934512B440806A9DEFA77A,0.5,0.5,6.07,5.61,4300.037,531932,9752
jhash,2,9934512B440806A9DEFA77A,0.84,0.84,7.44,6.68,4296.744,577654,9752
jhash,3,9934512B440806A9DEFA77A,0.61,0.61,6.55,5.99,4295.483,475567,9752
jhash,4,9934512B440806A9DEFA77A,0.86,0.85,6.97,6.21,4280.438,547379,9752
jhash,5,9934512B440806A9DEFA77A,0.77,0.77,7.17,6.46,4297.023,551515,9752
hsiphash,1,670B9FE03F3CECAF4D7F865,0.58,0.02,7.57,6.77,4397.384,568899,9754
hsiphash,2,670B9FE03F3CECAF4D7F865,0.44,0.03,7.28,6.64,4296.938,550416,9752
hsiphash,3,670B9FE03F3CECAF4D7F865,0.33,0.01,6.57,6.12,4398.981,507090,9752
hsiphash,4,670B9FE03F3CECAF4D7F865,0.32,0.01,6.28,5.8,4299.993,469357,9752
hsiphash,5,670B9FE03F3CECAF4D7F865,0.37,0.02,6.48,5.97,4270.892,483256,9752
siphash,1,75AA9FCC444232089DB6AD7,0.62,0.02,5.87,5.08,4299.972,502142,9753
siphash,2,75AA9FCC444232089DB6AD7,1.03,0.03,8.62,7.21,4248.515,574729,9752
siphash,3,75AA9FCC444232089DB6AD7,1.25,0.05,9.06,7.43,4394.480,611092,9752
siphash,4,75AA9FCC444232089DB6AD7,0.99,0.03,7.86,6.6,4199.972,525036,9752
siphash,5,75AA9FCC444232089DB6AD7,0.9,0.03,8.8,7.61,4299.062,497316,9752
