Watching br0 datapath for 30s (per-second deltas)...
  d_hit    = fast-path flow-table matches/s (successful hash lookups/s)
  d_missed = upcalls/s (new megaflows installed)
  flows    = datapath flows currently installed (hash table entries)
  masks    = subtables searched (masked flow_hash() per packet)
  hit/pkt  = avg mask lookups per packet

t(s)            d_hit     d_missed      flows    masks  hit/pkt
1                   0            0          0        0     1.03
2                   0            0          0        0     1.03
3              157512         1467          2        1     1.03
4              490080            0          2        1     1.03
5              469420            0          2        1     1.03
6              506540            0          2        1     1.03
7              488268            0          2        1     1.03
8              486507            2          4        2     1.03
9              498675            0          4        2     1.03
10             509409            0          4        2     1.03
11             513706            0          4        2     1.03
12             527945            0          4        2     1.03
13             525442            0          4        2     1.03
14             527722            0          4        2     1.03
15             520074            0          4        2     1.03
16             527665            0          4        2     1.03
17             528816            0          4        2     1.03
18             528833            0          4        2     1.03
19             529971            0          2        1     1.03
20             529103            0          2        1     1.03
21             516851            0          2        1     1.03
22             528248            0          2        1     1.03
23             218117            0          2        1     1.03
24                  0            0          2        1     1.03
25                  0            0          2        1     1.03
26                  0            0          2        1     1.03
27                  0            0          2        1     1.03
28                  0            0          2        1     1.03
29                  0            0          2        1     1.03
30                  0            0          2        1     1.03
