# flow_hash in-context cycle histogram (x86=1)
# total_calls 35205 overflow(>=1024) 65
# rdtsc_pair_overhead_min 29 (flow_hash ~= mode - this)
# cycles count
155 1
156 1
157 1
158 1
159 22
160 17
161 56
162 90
163 850
164 1740
165 3973
166 3675
167 6064
168 2262
169 5416
170 955
171 4270
172 93
173 228
174 40
175 82
176 53
177 63
178 45
179 67
180 28
181 61
182 31
183 44
184 139
185 150
186 490
187 422
188 379
189 282
190 202
191 529
192 102
193 159
194 111
195 99
196 93
197 87
198 74
199 81
200 31
201 38
202 27
203 27
204 27
205 22
206 32
207 22
208 37
209 32
210 37
211 24
212 28
213 19
214 37
215 13
216 37
217 24
218 35
219 17
220 34
221 18
222 35
223 12
224 29
225 8
226 42
227 11
228 36
229 11
230 32
231 5
232 18
233 7
234 25
235 13
236 37
237 6
238 21
239 5
240 34
241 4
242 28
243 3
244 17
245 1
246 24
247 1
248 15
249 2
250 11
251 4
252 8
253 1
254 10
256 17
258 13
260 9
262 13
263 1
264 21
266 8
268 11
269 2
270 15
271 1
272 14
274 6
275 3
276 10
277 3
278 7
279 1
280 8
281 1
282 15
283 5
284 7
285 1
286 3
288 7
290 5
292 9
293 1
294 1
295 5
296 4
297 4
298 3
300 9
301 3
302 5
304 3
305 1
306 1
307 1
308 4
309 1
310 1
311 2
312 3
313 2
314 2
317 1
318 1
319 3
323 2
324 1
326 1
327 1
332 1
333 1
334 1
335 4
337 2
339 3
341 1
343 1
347 1
351 3
352 1
353 1
355 3
357 2
358 2
359 1
363 1
364 1
366 1
367 2
373 2
375 2
385 1
387 2
389 3
391 1
395 1
396 1
397 1
399 1
403 1
406 1
409 2
410 1
417 1
423 1
431 1
439 1
447 1
460 1
465 2
468 1
470 1
471 1
476 1
493 1
499 1
501 1
543 1
544 1
552 1
570 1
574 1
577 1
583 1
585 1
615 1
637 1
643 1
675 1
687 1
700 1
713 1
723 1
730 1
732 1
744 1
758 1
782 1
866 1
891 1
893 1
903 1
946 1
988 1
1018 1
