# flow_hash in-context cycle histogram (x86=1)
# total_calls 31851 overflow(>=1024) 27
# rdtsc_pair_overhead_min 29 (flow_hash ~= mode - this)
# cycles count
155 5
156 2
157 5
158 84
159 862
160 1341
161 3507
162 2864
163 5590
164 1988
165 5443
166 1054
167 4141
168 298
169 844
170 97
171 344
172 45
173 86
174 22
175 55
176 28
177 36
178 26
179 33
180 29
181 46
182 29
183 40
184 36
185 39
186 38
187 59
188 41
189 50
190 49
191 52
192 59
193 54
194 49
195 54
196 47
197 45
198 58
199 50
200 73
201 48
202 56
203 42
204 53
205 33
206 68
207 41
208 65
209 43
210 61
211 41
212 50
213 31
214 52
215 40
216 69
217 34
218 63
219 31
220 65
221 33
222 80
223 25
224 83
225 26
226 62
227 24
228 51
229 20
230 62
231 14
232 50
233 11
234 37
235 11
236 44
237 11
238 36
239 6
240 37
241 3
242 24
243 3
244 28
245 2
246 25
248 13
250 14
251 1
252 11
254 8
255 1
256 11
258 14
260 3
262 7
263 1
264 6
265 1
266 2
267 1
268 6
270 5
272 4
273 1
274 4
276 3
277 2
278 2
280 5
282 1
283 1
284 4
285 2
286 3
287 1
288 3
289 1
294 1
295 1
296 1
300 1
303 2
307 1
308 1
311 1
315 1
318 1
322 1
323 1
324 2
330 2
333 2
335 5
338 1
339 1
343 1
345 1
346 1
347 1
348 2
349 1
354 1
355 1
357 1
361 1
369 2
371 1
375 1
383 3
385 1
389 1
393 1
419 1
426 1
458 1
460 1
563 1
623 1
633 1
641 1
643 1
645 1
647 1
651 4
655 2
661 1
664 3
665 2
667 1
669 2
682 1
683 1
685 1
689 1
694 1
697 3
701 1
703 1
705 1
719 1
740 1
746 1
752 1
919 1
969 1
1022 1
